zone,time_elapsed,power_j,watts,watts_since_last,start_power,prev_power,prev_power_reading,temp
package-0,0.0006262,0.0,0.0,0.0,852.08577,0.0,852.08577,27.799999237060547
dram,0.000865037,0.0,0.0,0.0,100.245348,0.0,100.245348,27.799999237060547
core,0.001001284,0.008422999999993408,19.49366912833562,0.0,543.997142,0.0,544.005565,27.799999237060547
uncore,0.001131437,0.0007930000000000437,1.8352700485317694,0.0,0.532408,0.0,0.533201,27.799999237060547
package-0,1.002064991,2.065484999999967,2.062557111490251,2.063447440570985,852.08577,0.0,854.151255,27.799999237060547
dram,1.00276195,0.4656359999999893,0.4649759466497543,0.4651766594469117,100.245348,0.0,100.710984,27.799999237060547
core,1.003389876,0.4688099999999622,0.4681454474071136,0.4599328374798679,543.997142,0.008422999999993408,544.465952,27.799999237060547
uncore,1.004016611,0.005066000000000015,0.005058818789199539,0.00426878477140231,0.532408,0.0007930000000000437,0.537474,27.799999237060547
package-0,2.004961057,4.277455000000032,2.1340088585702732,2.205347819059905,852.08577,2.065484999999967,856.363225,27.799999237060547
dram,2.005607122,0.9416479999999865,0.46978522828526237,0.4745869184691956,100.245348,0.4656359999999893,101.186996,27.799999237060547
core,2.006178599,1.0779999999999745,0.5378108126300997,0.607366211066647,543.997142,0.4688099999999622,545.075142,27.799999237060547
uncore,2.006803284,0.01275599999999999,0.006363928317170416,0.007666977729612117,0.532408,0.005066000000000015,0.545164,27.799999237060547
package-0,3.007827499,5.984909000000016,1.9902072168920704,1.7027603428177676,852.08577,4.277455000000032,858.070679,27.799999237060547
dram,3.008473408,1.388424999999998,0.46170350378148795,0.4455488450541686,100.245348,0.9416479999999865,101.633773,27.799999237060547
core,3.009106053,1.197811999999999,0.3983175160858613,0.11948264620524235,543.997142,1.0779999999999745,545.194954,27.799999237060547
uncore,3.009733318,0.01275599999999999,0.004241849501583927,0.0,0.532408,0.01275599999999999,0.545164,27.799999237060547
package-0,4.010595816,8.103556000000026,2.0208520490024533,2.112750039980918,852.08577,5.984909000000016,860.189326,27.799999237060547
dram,4.011217316,1.8630939999999896,0.46461545121476844,0.4733478246860755,100.245348,1.388424999999998,102.108442,27.799999237060547
core,4.011823604,1.7101399999999103,0.426472023279763,0.510902006083671,543.997142,1.197811999999999,545.707282,27.799999237060547
uncore,4.012433483,0.02117900000000006,0.005281585707043049,0.00839955574796525,0.532408,0.01275599999999999,0.553587,27.799999237060547
package-0,5.013472499,10.00186599999995,1.9952574138627959,1.8929153615817986,852.08577,8.103556000000026,862.087636,27.799999237060547
dram,5.014131026,2.3141419999999897,0.4616447553117869,0.4497662067896084,100.245348,1.8630939999999896,102.55949,27.799999237060547
core,5.014739315,2.020746999999915,0.4031158219167157,0.30972431358148556,543.997142,1.7101399999999103,546.017889,27.799999237060547
uncore,5.015346416,0.02117900000000006,0.004224967297922256,0.0,0.532408,0.02117900000000006,0.553587,27.799999237060547
package-0,6.016195495,12.069853999999964,2.006440794417031,2.0623481789290237,852.08577,10.00186599999995,864.155624,27.799999237060547
dram,6.01684539,2.7886279999999886,0.4635695659329077,0.47319198081773584,100.245348,2.3141419999999897,103.033976,27.799999237060547
core,6.017617249,2.4852229999999054,0.4131328192058745,0.4632092801100448,543.997142,2.020746999999915,546.482365,27.799999237060547
uncore,6.018326824,0.027710000000000012,0.004606391627711165,0.006513188643544,0.532408,0.02117900000000006,0.560118,27.799999237060547
package-0,7.019349877,13.837061999999946,1.971455228325349,1.7616585360259398,852.08577,12.069853999999964,865.922832,27.799999237060547
dram,7.019998402,3.2378459999999905,0.46131674666286265,0.4478073459584338,100.245348,2.7886279999999886,103.483194,27.799999237060547
core,7.020623936,2.6665579999998954,0.37992167056363557,0.18076556388962106,543.997142,2.4852229999999054,546.6637,27.799999237060547
uncore,7.021251443,0.027710000000000012,0.003948021941138636,0.0,0.532408,0.027710000000000012,0.560118,27.799999237060547
package-0,8.022367533,15.942097999999987,1.9873818696919465,2.0988370783924974,852.08577,13.837061999999946,868.027868,27.799999237060547
dram,8.023017357,3.7121489999999966,0.462765792820687,0.472906269913099,100.245348,3.2378459999999905,103.957497,27.799999237060547
core,8.02364451,3.1664959999999382,0.3947433230464367,0.4984657798239355,543.997142,2.6665579999998954,547.163638,27.799999237060547
uncore,8.024272416,0.036009999999999986,0.004489096800659928,0.008275558114282764,0.532408,0.027710000000000012,0.568418,27.799999237060547
package-0,9.025301216,17.654739999999947,1.956278334394888,1.707522262576619,852.08577,15.942097999999987,869.74051,27.799999237060547
dram,9.02600302,4.159596999999991,0.46091471700597003,0.4461104079809973,100.245348,3.7121489999999966,104.404945,27.799999237060547
core,9.026650716,3.2870399999999336,0.36422882105821225,0.12018364819970129,543.997142,3.1664959999999382,547.284182,27.799999237060547
uncore,9.027256385,0.036009999999999986,0.003990179567728559,0.0,0.532408,0.036009999999999986,0.568418,27.799999237060547
package-0,10.028287082,19.91559799999993,1.9860699554780237,2.254128882042029,852.08577,17.654739999999947,872.001368,27.799999237060547
dram,10.028934359,4.635180999999989,0.4622403867713432,0.47416849277445927,100.245348,4.159596999999991,104.880529,27.799999237060547
core,10.029563148,3.9464009999999234,0.3935522527803736,0.6573985070234846,543.997142,3.2870399999999336,547.943543,27.799999237060547
uncore,10.030131323,0.04284600000000005,0.004272789263591874,0.006815653631337995,0.532408,0.036009999999999986,0.575254,27.799999237060547
package-0,11.031152407,21.616705000000024,1.9597201179953663,1.6962481023995135,852.08577,19.91559799999993,873.702475,27.799999237060547
dram,11.031779726,5.082506999999993,0.46076824464007116,0.44604829599427315,100.245348,4.635180999999989,105.327855,27.799999237060547
core,11.032553211,4.057972999999947,0.3678863789084367,0.1112533152123579,543.997142,3.9464009999999234,548.055115,27.799999237060547
uncore,11.033304285,0.04284600000000005,0.0038843185478836606,0.0,0.532408,0.04284600000000005,0.575254,27.799999237060547
package-0,12.034372903,23.814330999999925,1.9789714795728797,2.190649630897548,852.08577,21.616705000000024,875.900101,27.799999237060547
dram,12.035023672,5.557114999999996,0.4617963903208816,0.4731013557452807,100.245348,5.082506999999993,105.802463,27.799999237060547
core,12.035649495,4.6534299999999575,0.3867001450592406,0.5935667202997431,543.997142,4.057972999999947,548.650572,27.799999237060547
uncore,12.036275843,0.05102499999999999,0.0042401787287329835,0.008153035744531472,0.532408,0.04284600000000005,0.583433,27.799999237060547
package-0,13.037323147,25.54949499999998,1.9598167295998115,1.7300003399653348,852.08577,23.814330999999925,877.635265,27.799999237060547
dram,13.037969569,6.005050999999995,0.46062747666441456,0.4466029910041272,100.245348,5.557114999999996,106.250399,27.799999237060547
core,13.038522009,4.797777999999994,0.3680215827868974,0.1439184359941603,543.997142,4.6534299999999575,548.79492,27.799999237060547
uncore,13.039155643,0.05102499999999999,0.003913957932547412,0.0,0.532408,0.05102499999999999,0.583433,27.799999237060547
package-0,14.040172515,27.846181,1.9834124365770458,2.2901460825055713,852.08577,25.54949499999998,879.931951,27.799999237060547
dram,14.040816972,6.485395999999994,0.4619382127311108,0.4789771958383199,100.245348,6.005050999999995,106.730744,27.799999237060547
core,14.041446507,5.49095299999999,0.3911065746811033,0.6912011527656702,543.997142,4.797777999999994,549.488095,27.799999237060547
uncore,14.042072242,0.059753000000000056,0.004256053759141633,0.008703146624357266,0.532408,0.05102499999999999,0.592161,27.799999237060547
package-0,15.043141947,29.65727299999992,1.9715659394223743,1.8057383199428756,852.08577,27.846181,881.743043,27.799999237060547
