zone,time_elapsed,power_j,watts,watts_since_last,start_power,prev_power,prev_power_reading,temp
package-0,0.000436905,0.0,0.0,0.0,560.354095,0.0,560.354095,27.799999237060547
dram,0.000591901,0.0,0.0,0.0,76.025989,0.0,76.025989,27.799999237060547
core,0.000703622,0.00634700000000521,21.975929311413527,0.0,316.810529,0.0,316.816876,27.799999237060547
uncore,0.000812052,0.0,0.0,0.0,0.293395,0.0,0.293395,27.799999237060547
package-0,1.001786589,2.2045229999999947,2.202024732476209,2.2026601750473946,560.354095,0.0,562.558618,27.799999237060547
dram,1.002440949,0.5063460000000077,0.5057721852711077,0.50591813693691,76.025989,0.0,76.532335,27.799999237060547
core,1.00306994,0.59814300000005,0.5974651566609332,0.5912959315699813,316.810529,0.00634700000000521,317.408672,27.799999237060547
uncore,1.003699475,0.011351999999999973,0.011339135388049898,0.011342407544461102,0.293395,0.0,0.304747,27.799999237060547
package-0,2.004773084,4.098316999999952,2.0449407187676556,1.8881473876128998,560.354095,2.2045229999999947,564.452412,27.799999237060547
dram,2.005420611,0.9583099999999973,0.47816875566293426,0.45061640595285246,76.025989,0.5063460000000077,76.984299,27.799999237060547
core,2.006051452,0.9025850000000446,0.45036360502348094,0.30353426348359386,316.810529,0.59814300000005,317.713114,27.799999237060547
uncore,2.006679543,0.011351999999999973,0.005664317093931642,0.0,0.293395,0.011351999999999973,0.304747,27.799999237060547
package-0,3.007694107,6.397321999999917,2.1274303490692548,2.292265235908044,560.354095,4.098316999999952,566.751417,27.799999237060547
dram,3.008386686,1.434383000000011,0.47700427247355504,0.47467734417911145,76.025989,0.9583099999999973,77.460372,27.799999237060547
core,3.009017127,1.5942340000000286,0.5301627454610194,0.6896213614805318,316.810529,0.9025850000000446,318.404763,27.799999237060547
uncore,3.00964559,0.022215999999999958,0.007387933987834767,0.010832151092714166,0.293395,0.011351999999999973,0.315611,27.799999237060547
package-0,4.010680212,8.226296999999931,2.0514289958027394,1.8235640878144972,560.354095,6.397321999999917,568.580392,27.799999237060547
dram,4.011328604,1.885981000000001,0.47031563641977436,0.4502619745643471,76.025989,1.434383000000011,77.91197,27.799999237060547
core,4.011935652,1.8328200000000265,0.4570586367216334,0.2378801577141856,316.810529,1.5942340000000286,318.643349,27.799999237060547
uncore,4.012557263,0.022215999999999958,0.0055401046875348595,0.0,0.293395,0.022215999999999958,0.315611,27.799999237060547
package-0,5.013378879,10.651278999999931,2.1248321514844637,2.4183798062004143,560.354095,8.226296999999931,571.005374,27.799999237060547
dram,5.014126814,2.3599180000000075,0.4707819259327411,0.47264667127888843,76.025989,1.885981000000001,78.385907,27.799999237060547
core,5.014776744,2.654899999999998,0.5296281206206441,0.8198418260758913,316.810529,1.8328200000000265,319.465429,27.799999237060547
uncore,5.015391971,0.03167700000000001,0.006319270020302145,0.009435241724046712,0.293395,0.022215999999999958,0.325072,27.799999237060547
package-0,6.016431477,12.42538300000001,2.0654646679024236,1.7687651327917835,560.354095,10.651278999999931,572.779478,27.799999237060547
dram,6.017080228,2.809075000000007,0.4669510116499435,0.4478053376517514,76.025989,2.3599180000000075,78.835064,27.799999237060547
core,6.017707829,2.835747000000026,0.4713846837244649,0.18030277141026207,316.810529,2.654899999999998,319.646276,27.799999237060547
uncore,6.018336223,0.03167700000000001,0.005265650506317997,0.0,0.293395,0.03167700000000001,0.325072,27.799999237060547
package-0,7.019006163,14.698387000000025,2.0941649508896814,2.266311188721573,560.354095,12.42538300000001,575.052482,27.799999237060547
dram,7.019172094,3.2841099999999983,0.46790631222774964,0.4736362696829067,76.025989,2.809075000000007,79.310099,27.799999237060547
core,7.019324099,3.511038000000042,0.5002380683568802,0.6733026202078859,316.810529,2.835747000000026,320.321567,27.799999237060547
uncore,7.019463496,0.03900100000000001,0.005556700014066056,0.00730243463988479,0.293395,0.03167700000000001,0.332396,27.799999237060547
package-0,8.020447265,16.541461000000027,2.0625785727047896,1.8411175198974248,560.354095,14.698387000000025,576.895556,27.799999237060547
dram,8.021095723,3.7340599999999995,0.46560531413724787,0.4494723641469891,76.025989,3.2841099999999983,79.760049,27.799999237060547
core,8.02172679,3.7609150000000113,0.4689539027274583,0.24961174782963258,316.810529,3.511038000000042,320.571444,27.799999237060547
uncore,8.022352368,0.03900100000000001,0.004863090806432358,0.0,0.293395,0.03900100000000001,0.332396,27.799999237060547
package-0,9.022837113,18.56837299999995,2.0580029111398077,2.0214067049033404,560.354095,16.541461000000027,578.922468,27.799999237060547
dram,9.023101957,4.202077000000003,0.46573206488439556,0.4667458191617536,76.025989,3.7340599999999995,80.228066,27.799999237060547
core,9.023308343,4.209279000000038,0.46653028974588995,0.4471461986693889,316.810529,3.7609150000000113,321.019808,27.799999237060547
uncore,9.023509142,0.043150999999999995,0.004782588308549923,0.004138728186201052,0.293395,0.03900100000000001,0.336546,27.799999237060547
package-0,10.024487247,20.78797099999997,2.0738530211249757,2.2166724689256183,560.354095,18.56837299999995,581.142066,27.799999237060547
dram,10.02512473,4.6680180000000036,0.46569158827313106,0.46532686857875366,76.025989,4.202077000000003,80.694007,27.799999237060547
core,10.025668355,4.81853000000001,0.4807069914558455,0.6084479794833696,316.810529,4.209279000000038,321.629059,27.799999237060547
uncore,10.026149892,0.04840099999999997,0.004828588613841632,0.005243080261317295,0.293395,0.043150999999999995,0.341796,27.799999237060547
package-0,11.027161768,22.570131999999944,2.0468956565845233,1.7774010613035676,560.354095,20.78797099999997,582.924227,27.799999237060547
dram,11.027681435,5.117356999999998,0.46409546104969296,0.44813886931937486,76.025989,4.6680180000000036,81.143346,27.799999237060547
core,11.028150035,5.012315999999998,0.4545692444257364,0.19326842079125184,316.810529,4.81853000000001,321.822845,27.799999237060547
uncore,11.028605702,0.04840099999999997,0.004389508961416252,0.0,0.293395,0.04840099999999997,0.341796,27.799999237060547
package-0,12.029625926,24.89776299999994,2.0698160000099235,2.321928399576917,560.354095,22.570131999999944,585.251858,27.799999237060547
dram,12.030278889,5.595323000000008,0.46515379998691325,0.47679500291592775,76.025989,5.117356999999998,81.621312,27.799999237060547
core,12.030909406,5.7330780000000345,0.47660573255938665,0.7189961626804009,316.810529,5.012315999999998,322.543607,27.799999237060547
uncore,12.031539884,0.05926499999999996,0.004926854080850088,0.010837383645862952,0.293395,0.04840099999999997,0.35266,27.799999237060547
package-0,13.032555219,26.701774999999998,2.0489503558078312,1.7986974731150254,560.354095,24.89776299999994,587.05587,27.799999237060547
dram,13.033184439,6.044845000000009,0.46384883827210777,0.4481977312288333,76.025989,5.595323000000008,82.070834,27.799999237060547
core,13.033795667,5.948227000000031,0.45643489348838473,0.214515182073737,316.810529,5.7330780000000345,322.758756,27.799999237060547
uncore,13.034404184,0.05926499999999996,0.004547676805641237,0.0,0.293395,0.05926499999999996,0.35266,27.799999237060547
package-0,14.035424649,29.00517500000001,2.066664141387665,2.29685277522717,560.354095,26.701774999999998,589.35927,27.799999237060547
dram,14.035991614,6.523848000000001,0.4648343864659887,0.47764147342715807,76.025989,6.044845000000009,82.549837,27.799999237060547
core,14.036605601,6.644758000000024,0.4734494133132748,0.6945511680045727,316.810529,5.948227000000031,323.455287,27.799999237060547
uncore,14.03723334,0.07147199999999998,0.005092491926466884,0.012172302607969953,0.293395,0.05926499999999996,0.364867,27.799999237060547
package-0,15.038034137,34.555881,2.2979965871939876,5.536227939041435,560.354095,29.00517500000001,594.909976,27.799999237060547
dram,15.038684235,7.041668999999999,0.46827720381806204,0.5164703530726303,76.025989,6.523848000000001,83.067658,27.799999237060547
core,15.039311591,10.593601000000035,0.704483816925255,3.9385431228907266,316.810529,6.644758000000024,327.40413,27.799999237060547
uncore,15.039919943,0.07958899999999997,0.005292738749105607,0.008095828202970815,0.293395,0.07147199999999998,0.372984,27.799999237060547
package-0,16.040774703,37.04934300000002,2.30979083786108,2.4866619642459473,560.354095,34.555881,597.403438,27.799999237060547
dram,16.041426999,7.54032500000001,0.4700912941828648,0.4972960921173227,76.025989,7.041668999999999,83.566314,27.799999237060547
core,16.042055998,11.495454000000052,0.7166684258410092,0.8993935148966066,316.810529,10.593601000000035,328.305983,27.799999237060547
uncore,16.042682678,0.07958899999999997,0.004961867825686554,0.0,0.293395,0.07958899999999997,0.372984,27.799999237060547
package-0,17.043664721,39.04793399999994,2.291132703214514,1.9927312800126722,560.354095,37.04934300000002,599.402029,27.799999237060547
dram,17.044337963,8.010111000000009,0.4699922733038414,0.46840862243053694,76.025989,7.54032500000001,84.0361,27.799999237060547
core,17.044968047,11.908478000000002,0.698728475399252,0.4118130443877152,316.810529,11.495454000000052,328.719007,27.799999237060547
uncore,17.045597532,0.07958899999999997,0.004669874742057803,0.0,0.293395,0.07958899999999997,0.372984,27.799999237060547
package-0,18.04664571,41.529495999999995,2.301313945357739,2.474327716505182,560.354095,39.04793399999994,601.883591,27.799999237060547
